time,CPU_usage,MEM_usage,Net_rx,Net_tx
0.0,0.9151321695760598,371.249152,36.126,32.905
0.5,0.8022899505766063,371.249152,36.126,32.905
1.0,1.2699425758818703,371.253248,36.126,32.905
1.5,1.5302824112303879,371.253248,36.212,33.049
2.0,1.0652398042414355,371.253248,36.212,33.049
2.5,0.669121187139324,371.253248,36.212,33.049
3.0,1.0419367396593675,371.253248,36.298,33.193
3.5,0.9665256198347107,371.253248,36.298,33.193
4.0,1.237024630541872,371.253248,36.298,33.193
4.5,1.039143090760425,371.253248,36.384,33.337
5.0,1.6909135802469137,371.253248,36.384,33.337
5.5,1.293641447368421,371.253248,36.384,33.337
6.0,1.182494233937397,371.253248,36.47,33.481
6.5,0.8696377171215881,371.253248,36.47,33.481
7.0,6.6151501230516825,371.257344,36.47,33.481
7.5,1.7276618357487923,371.265536,36.556,33.625
8.0,1.4404722891566264,371.265536,36.556,33.625
8.5,25.93523261390887,374.161408,36.556,33.625
9.0,0.9434411764705882,374.038528,36.642,33.769
9.5,0.7218483870967742,373.92384,36.642,33.769
10.0,1.356878048780488,373.936128,36.642,33.769
10.5,1.1564277551020408,373.936128,36.728,33.913
11.0,2.5536217105263157,373.948416,36.728,33.913
11.5,1.0826709677419355,373.948416,36.728,33.913
12.0,0.9739049153908139,373.948416,36.814,34.057
12.5,1.3017044334975372,373.948416,36.814,34.057
13.0,0.8677377049180328,373.948416,36.814,34.057
13.5,1.3561676253081347,373.948416,36.9,34.201
14.0,1.2795098039215687,373.948416,36.9,34.201
14.5,0.9782477732793522,373.948416,36.9,34.201
15.0,1.2219934426229508,373.948416,36.986,34.345
15.5,1.0141230516817064,373.948416,36.986,34.345
16.0,2.1176400986031227,373.960704,36.986,34.345
16.5,1.0856395061728394,373.960704,37.072,34.489
17.0,0.9994759967453213,373.960704,37.072,34.489
17.5,0.9606259168704157,373.960704,37.072,34.489
18.0,1.0369884297520662,373.960704,37.158,34.633
18.5,1.694317848410758,373.960704,37.158,34.633
19.0,1.342135922330097,373.960704,37.244,34.777
19.5,1.3635660685154973,373.9648,37.244,34.777
20.0,0.35691770573566084,373.9648,37.244,34.777
20.5,1.013721153846154,373.9648,37.33,34.921
21.0,1.5564165988608627,373.9648,37.33,34.921
21.5,0.996845476381105,373.9648,37.33,34.921
22.0,1.3765265739983648,373.9648,37.416,35.065
22.5,1.0204278768233388,373.9648,37.416,35.065
23.0,1.2287940691927512,374.095872,37.416,35.065
23.5,1.835243330638642,373.977088,37.502,35.209
24.0,0.9112317666126417,373.977088,37.502,35.209
24.5,1.3540129240710823,373.977088,37.502,35.209
25.0,1.394658978583196,373.977088,37.588,35.353
25.5,0.7479966859983429,373.977088,37.588,35.353
26.0,0.8800553745928339,373.977088,37.588,35.353
26.5,0.859990099009901,373.977088,37.674,35.497
27.0,1.48681286067601,373.977088,37.674,35.497
27.5,1.127911257189811,373.977088,37.674,35.497
28.0,1.1787064676616914,373.977088,37.76,35.641
28.5,1.007482014388489,373.977088,37.76,35.641
29.0,0.9867661691542288,373.977088,37.76,35.641
29.5,1.4260589641434263,373.977088,37.846,35.785
30.0,1.2494059405940594,373.977088,37.846,35.785
30.5,1.8000870265914584,373.981184,37.846,35.785
31.0,1.0051051344743276,373.981184,37.932,35.929
31.5,0.9657540983606557,373.981184,37.932,35.929
32.0,1.438848387096774,373.981184,37.932,35.929
32.5,0.9543401807723911,373.981184,38.018,36.073
33.0,1.4344104234527686,373.981184,38.018,36.073
33.5,1.073125925925926,373.981184,38.018,36.073
34.0,0.79920197856554,373.981184,38.104,36.217
34.5,1.2618688524590165,373.981184,38.104,36.217
35.0,0.953380677126342,373.981184,38.104,36.217
35.5,1.4297947494033414,373.98528,38.19,36.361
36.0,1.2609975308641976,373.98528,38.19,36.361
36.5,1.1184038772213247,373.98528,38.19,36.361
37.0,0.9976381578947369,373.98528,38.276,36.505
37.5,0.9392435064935065,373.98528,38.276,36.505
38.0,2.267450602409639,373.997568,38.276,36.505
38.5,1.023951690821256,373.997568,38.362,36.649
39.0,1.3328661800486619,373.997568,38.362,36.649
39.5,1.0185761047463175,373.997568,38.448,36.793
